RHipMomentPROXIMALX,RHipMomentPROXIMALY,RHipMomentPROXIMALZ,RKneeMomentPROXIMALX,RKneeMomentPROXIMALY,RKneeMomentPROXIMALZ,RAnkleMomentPROXIMALX,RAnkleMomentPROXIMALY,RAnkleMomentPROXIMALZ
10.14322337,2.370763658,1.453485491,4.2442152,2.576481079,-0.301466178,7.824097649,4.103632878,0.570071326
9.233319901,2.636601009,1.34564749,2.412822843,2.468608787,-0.541522279,11.52613675,4.809519035,0.526151273
7.807920196,2.348451558,0.936656496,0.299419422,2.079194974,-0.722549169,15.89294246,5.209593602,0.429121786
5.411710854,1.657026868,0.210916302,-2.880955187,1.51922522,-0.880685178,21.40888836,5.372539367,0.314770446
3.352326865,0.700561522,-0.599925597,-6.347761728,0.884770484,-0.935119521,27.75133414,5.273095879,0.285365134
2.271537873,-0.042904466,-1.229284667,-9.965548006,0.315492083,-0.917741307,34.46191503,4.961874003,0.410146695
2.731799331,0.281306843,-1.312115476,-13.99893105,0.114884508,-1.014672477,41.38700299,4.502094624,0.675169053
4.965184883,1.946815538,-0.576358206,-18.43238229,0.280436904,-1.343079761,48.11193532,3.915903734,1.067484802
8.242450026,4.567686773,0.939652528,-23.3841685,0.609729629,-1.893720055,54.24504525,3.205504806,1.549346993
11.62147022,7.437445821,2.973967421,-28.99605366,0.859711918,-2.551400833,59.722478,2.44173358,2.088977781
14.32196959,9.89423574,5.17134152,-35.18307812,0.818173612,-3.160909576,64.47125368,1.625956995,2.642158076
15.91845255,11.68327904,7.227995109,-41.75507613,0.406143238,-3.617037642,68.4750893,0.739674149,3.17568148
16.46269521,12.9065466,8.950513915,-48.50934669,-0.358302035,-3.885086684,71.80741642,-0.215197206,3.67058663
16.43432728,13.79063405,10.26267095,-55.21606682,-1.428834014,-3.972779349,74.5486888,-1.233326224,4.1082313
16.41904278,14.57206547,11.1869101,-61.69264669,-2.738437376,-3.922541351,76.76630176,-2.29379083,4.473345519
16.82639428,15.46355601,11.81730957,-67.82869214,-4.196676126,-3.805765961,78.51225506,-3.361381448,4.757149649
17.85134751,16.59330721,12.27689557,-73.56911431,-5.70878866,-3.697729868,79.83289282,-4.395198629,4.958775705
19.56665475,17.94897085,12.65894622,-78.89926933,-7.200317764,-3.651523204,80.78362124,-5.358521203,5.083480848
22.01980683,19.41907128,13.02677147,-83.81848075,-8.618965001,-3.691997654,81.43025566,-6.226646849,5.139498617
25.22383898,20.84773919,13.42979537,-88.32415777,-9.932813324,-3.813905732,81.84088129,-6.987998975,5.135857677
29.11942413,22.07692587,13.91029423,-92.4131761,-11.12716138,-3.9868912,82.07773294,-7.640892103,5.08217582
33.54832088,22.97536645,14.49429967,-96.08638235,-12.19997377,-4.166583222,82.1932841,-8.189872472,4.988134774
38.26896577,23.48562054,15.19268425,-99.35398983,-13.15596782,-4.316101331,82.23189657,-8.64267759,4.862890981
42.99272622,23.6430186,16.00386825,-102.230662,-14.00117238,-4.422848679,82.23160841,-9.009133452,4.714973297
47.45127086,23.5434226,16.90326019,-104.7278354,-14.74409737,-4.495569436,82.22535186,-9.300544821,4.552429314
51.43345069,23.28928679,17.83918951,-106.8612664,-15.40248814,-4.546607413,82.24155288,-9.530220614,4.382159622
54.78340167,22.9645078,18.74783571,-108.6583649,-16.00130817,-4.580657461,82.30350207,-9.712488517,4.209624345
57.42975763,22.65153406,19.58635417,-110.1476274,-16.56314843,-4.599939174,82.42885359,-9.861520084,4.038664259
59.36341893,22.41827904,20.33477845,-111.3587859,-17.10617674,-4.604786661,82.62850166,-9.989998919,3.872043565
60.63476492,22.31361944,20.99415464,-112.3222658,-17.64355182,-4.596214693,82.90689254,-10.10828332,3.711974613
61.35223733,22.3626707,21.57539801,-113.0676701,-18.1829088,-4.576035671,83.262602,-10.22408103,3.560155912
61.65886366,22.57103195,22.08719483,-113.6224134,-18.72524724,-4.547215117,83.68939324,-10.34278939,3.418165845
61.68619987,22.92706977,22.52925139,-114.0083659,-19.26526767,-4.514492639,84.17737585,-10.46783668,3.287388227
61.5282081,23.40622533,22.89403639,-114.2424167,-19.79251724,-4.484437665,84.71402312,-10.60088992,3.168964027
61.23780038,23.97687867,23.18068108,-114.3419083,-20.29701679,-4.462323874,85.28542699,-10.74185543,3.063519401
60.85345505,24.60216826,23.3915858,-114.3236737,-20.76988301,-4.451849311,85.87730719,-10.8890759,2.971467996
60.41322854,25.24224334,23.52888552,-114.2097562,-21.20663295,-4.454213475,86.47553696,-11.03991993,2.89274034
59.95572241,25.85351067,23.59385395,-114.0253986,-21.60544726,-4.46770647,87.06686344,-11.19153914,2.82689764
59.51949855,26.38523542,23.58692645,-113.8002648,-21.9679326,-4.485348197,87.63997857,-11.34126,2.773416927
59.14092824,26.80282801,23.51395402,-113.5609587,-22.29330868,-4.502583639,88.18596394,-11.48650627,2.73195642
58.852633,27.09377589,23.38934404,-113.3266922,-22.57871197,-4.517482488,88.69874397,-11.62492354,2.702256954
58.66621928,27.26494855,23.23525237,-113.1057651,-22.82019417,-4.529286626,89.17489603,-11.75465414,2.683921699
58.56722934,27.33875576,23.07739744,-112.9025025,-23.01488343,-4.538852551,89.61305999,-11.87479583,2.676367012
58.53205485,27.346133,22.93397513,-112.7157961,-23.16107748,-4.548378973,90.01351543,-11.98549522,2.678870732
58.52548615,27.31400051,22.80868152,-112.5411549,-23.25759832,-4.560595109,90.37744384,-12.08767438,2.690753724
58.50241197,27.25867644,22.70119783,-112.3697554,-23.3047735,-4.575687862,90.7064543,-12.18267891,2.71124754
58.42211751,27.19622167,22.61895495,-112.1932297,-23.3055999,-4.593174166,91.00221188,-12.2718846,2.739480064
58.26175645,27.13912786,22.56642243,-112.0046829,-23.26485685,-4.610237624,91.26639603,-12.35652758,2.774439492
58.01974818,27.0905504,22.53579075,-111.7964193,-23.18714407,-4.622232413,91.50036311,-12.43768305,2.815778297
57.69546213,27.04731347,22.51634868,-111.558132,-23.07533507,-4.626993502,91.70526698,-12.51618856,2.863668033
57.28787233,27.00577245,22.50273509,-111.2747249,-22.93078392,-4.624973809,91.88208732,-12.59235809,2.918449502
56.79750468,26.97002693,22.49286583,-110.9286193,-22.75393213,-4.620513462,92.03166342,-12.66561133,2.980509801
56.2377262,26.94733857,22.47922511,-110.5033838,-22.54665118,-4.617946633,92.154475,-12.73442971,3.049837669
55.63075868,26.94658659,22.45047724,-109.9847578,-22.31119458,-4.620639853,92.25044305,-12.79628738,3.126488137
54.99076234,26.96837606,22.39273044,-109.3641739,-22.05166896,-4.626959119,92.31886005,-12.84780595,3.209876158
54.3108565,27.01235636,22.2994144,-108.6348573,-21.77125041,-4.634574277,92.35843679,-12.88541135,3.299447072
53.59088159,27.08242676,22.17082966,-107.7898633,-21.47066484,-4.644116411,92.36715576,-12.9057338,3.394927415
52.83616587,27.17848001,22.00605747,-106.8244907,-21.14944064,-4.655921419,92.3421543,-12.90568005,3.495889884
52.04217378,27.28467771,21.80010981,-105.7373997,-20.80745947,-4.666359242,92.27973015,-12.8822993,3.601679675
51.20110219,27.37318935,21.54616712,-104.5303949,-20.44467022,-4.669299703,92.17557272,-12.83288624,3.711596645
50.30682491,27.42724523,21.24473728,-103.2070728,-20.05921228,-4.66187855,92.02493634,-12.75519672,3.82524317
49.36323532,27.43778601,20.90031684,-101.771909,-19.64902818,-4.640926424,91.82272311,-12.64779136,3.942242822
48.38632089,27.39979228,20.51801055,-100.2276452,-19.21180578,-4.603596889,91.56382683,-12.51006006,4.061915595
47.3890432,27.32097834,20.10613654,-98.57673075,-18.74324131,-4.552444793,91.24333605,-12.34206659,4.183777283
46.37388073,27.21191015,19.67249305,-96.82521097,-18.23992392,-4.490909116,90.8567036,-12.14425714,4.307119478
45.34015819,27.08070648,19.22501449,-94.98116949,-17.69994668,-4.421497201,90.40037063,-11.917413,4.431070236
44.2814447,26.92896452,18.76914139,-93.05758154,-17.1240015,-4.344935245,89.87144648,-11.66247004,4.554582908
43.19218172,26.76101815,18.3077164,-91.0692968,-16.51394172,-4.262220308,89.26726998,-11.38026041,4.6766517
42.06478872,26.57880858,17.83843632,-89.02801818,-15.87141747,-4.173081799,88.58555348,-11.07144025,4.796590115
40.88874987,26.37957302,17.35391731,-86.94225002,-15.19707233,-4.078792352,87.82455374,-10.73645598,4.914127597
39.65800989,26.15409893,16.84311373,-84.82162102,-14.49245546,-3.980740058,86.98294997,-10.37545274,5.028903093
38.37002425,25.88222817,16.2960661,-82.67672387,-13.76135539,-3.875489434,86.05944953,-9.988266882,5.140228422
37.0326921,25.54580148,15.7099578,-80.51382802,-13.00711987,-3.758244833,85.05259425,-9.574608548,5.247170381
35.65801278,25.13197939,15.08458895,-78.32927995,-12.23109158,-3.627297854,83.96052202,-9.134241437,5.348514502
34.24451315,24.63420608,14.42331282,-76.1151453,-11.43328786,-3.48383237,82.78042356,-8.66718284,5.442772359
32.7801526,24.04049004,13.72583503,-73.86226559,-10.61388201,-3.329536386,81.50848614,-8.173798688,5.528305641
31.25674059,23.33473116,12.98988404,-71.55972849,-9.773373829,-3.165673631,80.13974889,-7.654604313,5.603544228
29.67371976,22.50162318,12.2131092,-69.19429536,-8.912465086,-2.994550314,78.66822587,-7.109755787,5.666815432
28.02947874,21.53704088,11.39905181,-66.75007655,-8.032126255,-2.819916874,77.08687886,-6.538717454,5.716285492
26.32163626,20.44794728,10.55412777,-64.21121286,-7.133736402,-2.645705187,75.38736199,-5.940713424,5.749994061
24.55438175,19.23722537,9.68375058,-61.5579816,-6.220239561,-2.472665143,73.5599057,-5.315331029,5.765552594
22.72804685,17.89769684,8.792209454,-58.77101286,-5.297932991,-2.297807297,71.593201,-4.663035249,5.760075228
20.83464552,16.41017867,7.882241941,-55.83360688,-4.376564766,-2.115543541,69.47432185,-3.985480238,5.730599016
18.86491696,14.75314772,6.957441933,-52.73319261,-3.468537729,-1.920666721,67.18936997,-3.28567731,5.67410388
16.82866144,12.92215804,6.024298334,-49.45921174,-2.586518857,-1.71074517,64.72350759,-2.568045407,5.587414992
14.7384134,10.93597544,5.096822854,-46.00217005,-1.740737091,-1.487666291,62.06112773,-1.838704594,5.467351516
12.57933953,8.808265622,4.18723877,-42.36106328,-0.943159356,-1.253875578,59.18634284,-1.105885277,5.310479362
10.32808802,6.558103982,3.308239522,-38.5477253,-0.205124846,-1.013279065,56.08412195,-0.380139641,5.114228966
7.975808252,4.220191884,2.476112442,-34.58924494,0.463760209,-0.770210499,52.74197937,0.325567879,4.877562411
5.533530096,1.837928204,1.70825504,-30.52504152,1.052458194,-0.526450123,49.15249497,0.995821599,4.600972998
3.026966953,-0.530678246,1.021173823,-26.40276829,1.553889551,-0.285620336,45.31570471,1.613296533,4.287004279
0.484675013,-2.803398467,0.430893737,-22.27853628,1.969830948,-0.05580771,41.24248062,2.159167821,3.940780326
-2.066471123,-4.865372478,-0.046860224,-18.21350425,2.312751471,0.15261715,36.95863955,2.614035242,3.570769706
-4.59307488,-6.596331316,-0.403275766,-14.26998758,2.601497119,0.332156056,32.50917167,2.959469864,3.188447627
-7.043484795,-7.886884597,-0.642061902,-10.50290303,2.85847304,0.481178124,27.96223068,3.180269836,2.807440143
-9.35863206,-8.652883301,-0.777093361,-6.949530507,3.104431342,0.604983685,23.41136374,3.267361569,2.442030896
-11.48191932,-8.854026328,-0.828895425,-3.617088372,3.349160954,0.716516212,18.97513007,3.220247581,2.105001013
-13.37262188,-8.512645264,-0.823640905,-0.48207625,3.584834653,0.832610637,14.78475485,3.048537485,1.806002746
-14.96575204,-7.735777898,-0.782193779,2.54579316,3.774481513,0.970774917,10.99625214,2.775004336,1.546944006
-16.34306384,-6.726911939,-0.733281914,5.505730719,3.846532031,1.134562511,7.696911755,2.420736632,1.324912828
-17.92702737,-5.749350567,-0.736289232,8.241712969,3.70155038,1.304609877,4.818826247,1.991892197,1.142345294
